yearday,mean,sd,n,n_years,p05,p10,p25,p50,p75,p90,p95,lo1,hi1,lo2,hi2
136,9.1271,0.6379,4252,12,8.3129,8.4384,8.6488,9.0555,9.4432,9.8255,10.3542,8.4892,9.7649,7.8513,10.4028
137,9.1376,0.6303,4249,12,8.3146,8.448,8.6736,9.0803,9.4457,9.8114,10.2986,8.5073,9.7679,7.877,10.3982
138,9.1495,0.6222,4225,12,8.3392,8.4695,8.697,9.0943,9.4558,9.8086,10.2997,8.5273,9.7717,7.9051,10.394
139,9.1632,0.6159,4209,13,8.3534,8.4839,8.7254,9.1081,9.4725,9.8344,10.3011,8.5473,9.779,7.9315,10.3949
140,9.177,0.6106,4200,13,8.3503,8.497,8.7521,9.1272,9.481,9.8421,10.3013,8.5664,9.7876,7.9558,10.3982
141,9.1861,0.6026,4192,13,8.3503,8.5025,8.7807,9.1437,9.4919,9.8485,10.301,8.5835,9.7886,7.9809,10.3912
142,9.1884,0.5914,4199,13,8.3503,8.5195,8.8075,9.1531,9.4905,9.8366,10.2892,8.597,9.7798,8.0057,10.3711
143,9.185,0.5755,4197,13,8.3549,8.5413,8.824,9.1419,9.4741,9.8,10.1308,8.6094,9.7605,8.0339,10.3361
144,9.1778,0.5542,4171,13,8.3531,8.554,8.8305,9.1231,9.4536,9.7482,10.035,8.6236,9.732,8.0695,10.2861
145,9.1697,0.5292,4174,13,8.3625,8.5715,8.8392,9.1094,9.4293,9.7126,9.9744,8.6406,9.6989,8.1114,10.2281
146,9.1641,0.5036,4183,13,8.3952,8.5878,8.8523,9.1098,9.4212,9.6959,9.9459,8.6604,9.6677,8.1568,10.1713
147,9.1618,0.4784,4182,13,8.4474,8.6047,8.8614,9.1165,9.4384,9.7013,9.9342,8.6835,9.6402,8.2051,10.1186
148,9.1626,0.4569,4159,13,8.4882,8.6371,8.8752,9.1185,9.4422,9.6952,9.9164,8.7057,9.6195,8.2487,10.0764
149,9.1638,0.4405,4139,13,8.5208,8.6656,8.8801,9.1122,9.4453,9.7005,9.8965,8.7233,9.6043,8.2828,10.0448
150,9.1649,0.4295,4117,13,8.5556,8.6836,8.8794,9.1082,9.4422,9.6984,9.8902,8.7355,9.5944,8.306,10.0238
151,9.1692,0.4278,4093,13,8.5668,8.6893,8.8794,9.1028,9.4354,9.6906,9.8725,8.7414,9.597,8.3136,10.0249
152,9.1782,0.4382,4071,13,8.5755,8.6943,8.8778,9.1044,9.4292,9.6887,9.8927,8.74,9.6164,8.3019,10.0546
153,9.1924,0.4563,4084,13,8.5872,8.698,8.8847,9.112,9.4369,9.715,9.9521,8.7361,9.6488,8.2798,10.1051
154,9.2115,0.4802,4100,13,8.5946,8.6969,8.8897,9.1286,9.4525,9.7557,10.0433,8.7313,9.6918,8.2511,10.172
155,9.2332,0.5058,4095,13,8.5968,8.6961,8.8933,9.1463,9.4763,9.8296,10.1629,8.7274,9.7389,8.2216,10.2447
156,9.2566,0.5282,4107,13,8.5968,8.6925,8.8924,9.1649,9.5013,9.927,10.2814,8.7283,9.7848,8.2001,10.3131
157,9.2809,0.5446,4119,13,8.5968,8.6888,8.8933,9.1843,9.5351,9.9789,10.2963,8.7363,9.8255,8.1917,10.3701
158,9.3057,0.557,4107,13,8.6017,8.6986,8.9034,9.2104,9.5801,10.007,10.32,8.7487,9.8628,8.1917,10.4198
159,9.3317,0.5689,4109,13,8.6097,8.7063,8.915,9.2536,9.6218,10.028,10.3709,8.7629,9.9006,8.194,10.4694
160,9.359,0.5818,4082,13,8.6234,8.716,8.9294,9.2893,9.6595,10.0699,10.4167,8.7772,9.9407,8.1954,10.5225
161,9.3856,0.5939,4048,12,8.6383,8.7282,8.9465,9.3114,9.6919,10.11,10.4682,8.7916,9.9795,8.1977,10.5735
162,9.4105,0.6035,4025,12,8.6396,8.7368,8.9703,9.3201,9.709,10.1534,10.5743,8.807,10.014,8.2035,10.6176
163,9.4338,0.6103,4025,12,8.6415,8.7488,8.9919,9.34,9.7465,10.1991,10.6025,8.8234,10.0441,8.2131,10.6545
164,9.4556,0.6131,4025,12,8.656,8.769,9.0133,9.3592,9.7699,10.2316,10.6061,8.8424,10.0687,8.2293,10.6818
165,9.4752,0.6128,4025,12,8.6776,8.7978,9.0396,9.3702,9.8037,10.2508,10.6061,8.8624,10.088,8.2495,10.7009
166,9.4903,0.6096,4025,12,8.6878,8.8219,9.0656,9.3831,9.8447,10.2803,10.6088,8.8807,10.0998,8.2712,10.7094
167,9.4991,0.6014,4026,12,8.6987,8.8363,9.0731,9.3984,9.8591,10.2916,10.6233,8.8977,10.1005,8.2963,10.7019
168,9.5009,0.5902,4005,12,8.6987,8.8442,9.0802,9.4112,9.8568,10.2673,10.5844,8.9107,10.0912,8.3205,10.6814
169,9.4967,0.5766,3981,12,8.7037,8.8495,9.0844,9.4097,9.842,10.2457,10.5076,8.92,10.0733,8.3434,10.6499
170,9.4925,0.5654,3971,12,8.72,8.849,9.0855,9.3971,9.8192,10.2164,10.4467,8.9271,10.0579,8.3618,10.6233
171,9.4932,0.564,3958,12,8.7357,8.8637,9.0887,9.3865,9.7874,10.1905,10.4177,8.9292,10.0572,8.3652,10.6212
172,9.5009,0.5764,3939,11,8.7515,8.8786,9.0998,9.3931,9.7796,10.2149,10.4655,8.9244,10.0773,8.348,10.6537
173,9.5121,0.5926,3949,11,8.7647,8.8878,9.1121,9.4007,9.792,10.2614,10.5786,8.9195,10.1047,8.3268,10.6973
174,9.5247,0.6089,3949,11,8.7774,8.9016,9.1222,9.4042,9.8172,10.2988,10.6362,8.9159,10.1336,8.307,10.7425
175,9.5349,0.6221,3950,11,8.7787,8.9017,9.1273,9.4038,9.8291,10.3139,10.6264,8.9128,10.1569,8.2907,10.779
176,9.5394,0.6283,3951,11,8.7746,8.8976,9.127,9.4065,9.8526,10.3048,10.5934,8.9111,10.1676,8.2828,10.7959
177,9.5392,0.627,3950,11,8.7732,8.8954,9.1259,9.409,9.861,10.3005,10.5812,8.9121,10.1662,8.2851,10.7933
178,9.5393,0.6263,3949,11,8.765,8.8831,9.1119,9.4083,9.8719,10.2894,10.5786,8.913,10.1656,8.2867,10.792
179,9.5416,0.6282,3949,11,8.7559,8.8705,9.1036,9.4075,9.8862,10.2968,10.58,8.9134,10.1698,8.2852,10.798
180,9.5456,0.6302,3948,11,8.7537,8.8568,9.1076,9.4179,9.8934,10.3049,10.5844,8.9154,10.1758,8.2852,10.806
181,9.5516,0.6307,3948,11,8.7396,8.8554,9.1147,9.4392,9.8961,10.3018,10.5934,8.9208,10.1823,8.2901,10.813
182,9.5589,0.6293,3948,11,8.7311,8.862,9.1272,9.4593,9.9074,10.2896,10.5826,8.9296,10.1882,8.3003,10.8175
183,9.5669,0.6265,3956,11,8.7383,8.8628,9.1399,9.4754,9.907,10.2872,10.5795,8.9403,10.1934,8.3138,10.8199
184,9.5747,0.6234,3956,11,8.7422,8.8659,9.1503,9.4863,9.9176,10.2767,10.565,8.9513,10.1982,8.3279,10.8216
185,9.5801,0.6183,3952,11,8.7415,8.8767,9.1636,9.5066,9.9222,10.2708,10.5653,8.9618,10.1985,8.3434,10.8168
186,9.5797,0.6055,3952,11,8.741,8.8846,9.1774,9.5234,9.928,10.2769,10.5664,8.9741,10.1852,8.3686,10.7908
187,9.5727,0.5797,3952,11,8.7411,8.8822,9.1772,9.5355,9.9292,10.2553,10.5098,8.9929,10.1524,8.4132,10.7321
188,9.563,0.551,3952,11,8.7413,8.8788,9.1769,9.5338,9.9067,10.2069,10.4323,9.012,10.1139,8.461,10.6649
189,9.5531,0.5212,3952,11,8.742,8.8863,9.1827,9.53,9.8799,10.1777,10.3549,9.0319,10.0743,8.5107,10.5954
190,9.5468,0.4946,3936,11,8.7468,8.901,9.194,9.5338,9.8711,10.1574,10.3047,9.0522,10.0414,8.5576,10.536
191,9.5482,0.4754,3929,11,8.7537,8.9191,9.2064,9.542,9.8615,10.1538,10.3171,9.0727,10.0236,8.5973,10.4991
192,9.5573,0.4677,3930,11,8.7547,8.9333,9.232,9.5556,9.8669,10.1615,10.3347,9.0896,10.0249,8.6219,10.4926
193,9.5708,0.4623,3931,11,8.7619,8.9599,9.2565,9.5683,9.8737,10.1691,10.339,9.1085,10.0331,8.6463,10.4954
194,9.586,0.4558,3931,11,8.7955,9.0044,9.2897,9.5769,9.8707,10.1654,10.3419,9.1302,10.0418,8.6743,10.4976
195,9.6013,0.4471,3934,12,8.8258,9.0521,9.3247,9.5852,9.8787,10.1725,10.3659,9.1542,10.0484,8.7071,10.4955
