yearday,mean,sd,n,n_years,p05,p10,p25,p50,p75,p90,p95,lo1,hi1,lo2,hi2
85,4.5251,0.1352,2515,7,4.2825,4.3384,4.4386,4.5375,4.6256,4.684,4.7224,4.3899,4.6603,4.2547,4.7955
86,4.5255,0.1382,2515,7,4.2675,4.3283,4.4395,4.5415,4.629,4.6914,4.7289,4.3874,4.6637,4.2492,4.8019
87,4.5253,0.1407,2515,7,4.259,4.3212,4.4407,4.5433,4.6316,4.6946,4.7322,4.3846,4.666,4.2439,4.8067
88,4.5242,0.1429,2515,7,4.2554,4.3186,4.4388,4.5436,4.6316,4.6946,4.7319,4.3813,4.6671,4.2384,4.81
89,4.5224,0.1444,2513,7,4.2536,4.3114,4.4319,4.5399,4.6307,4.6936,4.7297,4.378,4.6668,4.2336,4.8112
90,4.5206,0.1456,2493,7,4.2503,4.3077,4.4236,4.5359,4.6296,4.6928,4.7298,4.375,4.6663,4.2294,4.8119
91,4.519,0.1468,2493,7,4.25,4.3061,4.4186,4.5338,4.6295,4.6933,4.7314,4.3723,4.6658,4.2255,4.8126
92,4.5181,0.148,2485,7,4.2505,4.307,4.4159,4.5324,4.6308,4.6967,4.7331,4.3701,4.6662,4.222,4.8142
93,4.5174,0.1491,2485,7,4.2513,4.3075,4.4132,4.5316,4.6325,4.699,4.7341,4.3684,4.6665,4.2193,4.8156
94,4.5162,0.1503,2485,7,4.2505,4.307,4.409,4.5329,4.6334,4.7017,4.7378,4.3659,4.6665,4.2157,4.8168
95,4.5138,0.1513,2485,7,4.2499,4.3067,4.4066,4.5271,4.6315,4.7038,4.7388,4.3625,4.6651,4.2111,4.8164
96,4.5098,0.152,2490,7,4.2486,4.3042,4.4015,4.5202,4.6291,4.7056,4.7418,4.3578,4.6618,4.2058,4.8138
97,4.5042,0.152,2482,7,4.2493,4.2992,4.3943,4.5102,4.6241,4.7047,4.7431,4.3521,4.6562,4.2001,4.8083
98,4.4974,0.1517,2458,7,4.2419,4.2932,4.39,4.4975,4.6138,4.6991,4.7396,4.3457,4.6491,4.194,4.8008
99,4.4908,0.1503,2434,7,4.2418,4.2912,4.3818,4.4867,4.6039,4.6927,4.7381,4.3404,4.6411,4.1901,4.7915
100,4.4847,0.1482,2410,7,4.2401,4.2911,4.3746,4.4754,4.5926,4.684,4.732,4.3365,4.6329,4.1883,4.7811
101,4.4802,0.146,2409,7,4.25,4.2959,4.374,4.4686,4.5854,4.6766,4.7253,4.3342,4.6262,4.1882,4.7722
102,4.4776,0.1438,2409,7,4.2534,4.3009,4.3746,4.4662,4.5766,4.6657,4.7197,4.3338,4.6215,4.1899,4.7653
103,4.4767,0.1421,2409,7,4.2562,4.303,4.3768,4.4652,4.5739,4.6656,4.7154,4.3346,4.6188,4.1926,4.7608
