yearday,mean,sd,n,n_years,p05,p10,p25,p50,p75,p90,p95,lo1,hi1,lo2,hi2
175,3.9637,0.1264,3592,10,3.7539,3.796,3.8741,3.9621,4.0441,4.1252,4.1816,3.8373,4.0901,3.7109,4.2164
176,3.9644,0.1253,3593,10,3.7548,3.8001,3.8768,3.9639,4.0443,4.1228,4.1781,3.8391,4.0897,3.7138,4.215
177,3.9652,0.1248,3593,10,3.7585,3.8049,3.8813,3.9678,4.0453,4.1209,4.1773,3.8404,4.09,3.7157,4.2147
178,3.9664,0.1238,3592,10,3.7613,3.8094,3.8824,3.9679,4.0474,4.123,4.1779,3.8425,4.0902,3.7187,4.214
179,3.9677,0.1228,3592,10,3.7627,3.8107,3.8814,3.9661,4.0457,4.1268,4.1846,3.8449,4.0905,3.7222,4.2133
180,3.9693,0.1215,3592,10,3.769,3.8151,3.8833,3.9674,4.044,4.1255,4.1846,3.8477,4.0908,3.7262,4.2123
181,3.971,0.1201,3592,10,3.7729,3.8216,3.8862,3.9694,4.0466,4.122,4.1786,3.8509,4.0912,3.7308,4.2113
182,3.9733,0.1183,3597,10,3.7834,3.8271,3.8911,3.9729,4.0502,4.123,4.1765,3.855,4.0916,3.7366,4.2099
183,3.9759,0.1168,3599,10,3.791,3.8291,3.8931,3.9766,4.0512,4.1257,4.1759,3.859,4.0927,3.7422,4.2095
184,3.9787,0.1159,3599,10,3.7929,3.8315,3.8961,3.9791,4.0532,4.1252,4.1756,3.8628,4.0946,3.7469,4.2105
185,3.9808,0.1154,3577,10,3.7982,3.8333,3.898,3.9809,4.0569,4.1282,4.1803,3.8654,4.0963,3.75,4.2117
186,3.9824,0.115,3553,10,3.8023,3.8349,3.8998,3.9842,4.0609,4.1319,4.1855,3.8674,4.0973,3.7525,4.2123
187,3.9834,0.1145,3529,10,3.8042,3.834,3.8993,3.9847,4.0625,4.1322,4.1845,3.8688,4.0979,3.7543,4.2125
188,3.9841,0.114,3505,10,3.8059,3.8349,3.9007,3.9836,4.0596,4.1307,4.1791,3.87,4.0981,3.756,4.2121
189,3.9845,0.1137,3481,10,3.8048,3.834,3.9013,3.9828,4.0596,4.1302,4.1747,3.8708,4.0982,3.757,4.212
190,3.9854,0.1139,3457,10,3.8078,3.8365,3.9015,3.9842,4.0624,4.1304,4.1742,3.8715,4.0994,3.7575,4.2133
191,3.9869,0.1147,3433,10,3.8062,3.8349,3.9022,3.9874,4.0655,4.1348,4.1769,3.8722,4.1015,3.7575,4.2162
192,3.9887,0.1155,3409,10,3.8053,3.8348,3.903,3.9899,4.0684,4.1425,4.1853,3.8732,4.1042,3.7578,4.2197
193,3.9903,0.1162,3386,10,3.8045,3.834,3.9047,3.9928,4.0711,4.1439,4.1882,3.8741,4.1066,3.7579,4.2228
194,3.9917,0.1166,3362,10,3.8044,3.8339,3.9067,3.9952,4.0716,4.1428,4.1876,3.8751,4.1083,3.7586,4.2248
