yearday,mean,sd,n,n_years,p05,p10,p25,p50,p75,p90,p95,lo1,hi1,lo2,hi2
92,3.7824,0.1277,4649,14,3.5764,3.6186,3.6981,3.7842,3.8689,3.9418,3.9911,3.6547,3.91,3.527,4.0377
93,3.782,0.1279,4649,14,3.5746,3.6162,3.6966,3.7849,3.8681,3.9412,3.9907,3.654,3.9099,3.5261,4.0378
94,3.7811,0.128,4649,14,3.5698,3.6133,3.6964,3.782,3.8672,3.9409,3.9891,3.6531,3.9091,3.5251,4.0371
95,3.7796,0.128,4649,14,3.5659,3.6098,3.697,3.7809,3.8648,3.9377,3.9877,3.6517,3.9076,3.5237,4.0356
96,3.7777,0.1277,4654,14,3.5647,3.6099,3.694,3.7792,3.8633,3.9333,3.9858,3.6501,3.9054,3.5224,4.0331
97,3.7754,0.1271,4646,14,3.5621,3.6076,3.691,3.7775,3.8618,3.9326,3.9869,3.6483,3.9025,3.5213,4.0296
98,3.7729,0.1263,4625,14,3.5621,3.6076,3.6899,3.7739,3.8566,3.9309,3.9839,3.6466,3.8992,3.5203,4.0255
99,3.7703,0.1254,4598,14,3.5614,3.6071,3.6868,3.769,3.8529,3.9264,3.9779,3.6449,3.8957,3.5196,4.021
100,3.7683,0.1241,4576,14,3.5608,3.6057,3.6845,3.7657,3.8508,3.9217,3.9704,3.6442,3.8925,3.52,4.0166
101,3.7671,0.1233,4572,14,3.5614,3.6074,3.6835,3.7633,3.8482,3.9194,3.9671,3.6438,3.8904,3.5205,4.0138
102,3.7669,0.1227,4579,14,3.563,3.6098,3.6845,3.7646,3.8484,3.9208,3.9683,3.6442,3.8896,3.5215,4.0123
103,3.7678,0.1223,4603,14,3.564,3.6102,3.6844,3.7655,3.8502,3.9231,3.9711,3.6455,3.89,3.5232,4.0123
104,3.7694,0.1222,4626,14,3.5685,3.6129,3.6856,3.7668,3.8492,3.9241,3.9752,3.6472,3.8916,3.525,4.0138
105,3.771,0.1222,4670,14,3.5716,3.6152,3.6874,3.7701,3.8504,3.9257,3.9748,3.6489,3.8932,3.5267,4.0154
106,3.7727,0.1218,4691,14,3.5721,3.6159,3.6899,3.7739,3.8525,3.9268,3.9765,3.6508,3.8945,3.529,4.0164
107,3.7744,0.1213,4723,14,3.5725,3.6206,3.691,3.7746,3.8531,3.9272,3.9772,3.6531,3.8957,3.5318,4.0169
108,3.7761,0.1208,4746,14,3.5755,3.6225,3.6943,3.7766,3.8541,3.9294,3.9786,3.6553,3.8969,3.5345,4.0177
109,3.7779,0.1204,4770,14,3.5815,3.6255,3.6962,3.7784,3.8543,3.9288,3.9784,3.6575,3.8983,3.537,4.0188
110,3.7801,0.12,4794,14,3.5846,3.6277,3.6978,3.7803,3.8581,3.9313,3.9805,3.6601,3.9001,3.5401,4.0201
111,3.7827,0.1194,4818,14,3.5873,3.6292,3.7006,3.7815,3.8604,3.9352,3.9853,3.6633,3.9022,3.5438,4.0216
112,3.7863,0.1189,4850,14,3.5916,3.6315,3.7057,3.7846,3.8629,3.9379,3.9882,3.6674,3.9053,3.5485,4.0242
113,3.7903,0.1183,4895,14,3.5982,3.6359,3.7098,3.7882,3.8656,3.9395,3.9896,3.672,3.9086,3.5537,4.0268
114,3.7945,0.1173,4943,14,3.6061,3.6453,3.7175,3.7947,3.87,3.9452,3.9964,3.6771,3.9118,3.5598,4.0291
115,3.7984,0.1165,4991,14,3.6131,3.6512,3.7224,3.7983,3.8728,3.9484,4.0001,3.6819,3.9149,3.5654,4.0314
116,3.8015,0.1158,4997,14,3.6167,3.657,3.7267,3.8016,3.8746,3.95,4.004,3.6857,3.9173,3.5698,4.0331
117,3.8032,0.1154,4989,14,3.618,3.6583,3.7293,3.8032,3.8755,3.9521,4.0055,3.6878,3.9185,3.5724,4.0339
118,3.8037,0.1153,4965,14,3.6181,3.6586,3.7293,3.8027,3.875,3.9499,4.0037,3.6883,3.919,3.573,4.0343
119,3.8031,0.1155,4944,14,3.6168,3.6581,3.7283,3.803,3.8754,3.9495,4.0029,3.6876,3.9187,3.572,4.0342
120,3.8023,0.1162,4920,14,3.6115,3.6543,3.7262,3.8009,3.875,3.9491,4.0008,3.6861,3.9184,3.5699,4.0346
121,3.8015,0.117,4896,14,3.6112,3.6533,3.7245,3.7985,3.8732,3.949,4.0007,3.6845,3.9185,3.5675,4.0355
122,3.8012,0.1178,4867,14,3.6062,3.6495,3.7236,3.799,3.8733,3.9523,4.0039,3.6834,3.919,3.5656,4.0368
123,3.8016,0.1186,4842,14,3.606,3.6487,3.723,3.7992,3.875,3.9521,4.0039,3.683,3.9201,3.5645,4.0387
124,3.8026,0.1191,4794,14,3.6079,3.6501,3.723,3.8021,3.8766,3.9541,4.0042,3.6835,3.9218,3.5643,4.0409
125,3.8042,0.1195,4745,14,3.6062,3.6505,3.7232,3.8038,3.8785,3.9562,4.0041,3.6847,3.9237,3.5651,4.0432
126,3.8062,0.1199,4696,14,3.6085,3.6521,3.7262,3.8071,3.8814,3.9562,4.0039,3.6863,3.9261,3.5663,4.046
127,3.8078,0.1204,4648,14,3.6089,3.6563,3.7269,3.8091,3.8855,3.9589,4.0056,3.6875,3.9282,3.5671,4.0486
128,3.8099,0.121,4600,14,3.6087,3.6576,3.7292,3.8118,3.8884,3.9619,4.0071,3.6889,3.9309,3.5678,4.0519
129,3.8121,0.122,4560,14,3.6093,3.6573,3.729,3.8109,3.8893,3.963,4.0097,3.6901,3.9342,3.568,4.0562
130,3.8145,0.1232,4535,14,3.6079,3.6575,3.7309,3.8156,3.8937,3.9666,4.0157,3.6913,3.9377,3.5682,4.0609
131,3.8176,0.1243,4512,14,3.6104,3.6581,3.7322,3.8175,3.8975,3.975,4.0238,3.6933,3.9419,3.569,4.0662
132,3.8212,0.1251,4537,14,3.6131,3.6597,3.7339,3.8214,3.9018,3.979,4.0273,3.6962,3.9463,3.5711,4.0714
133,3.8249,0.1254,4561,14,3.6191,3.6663,3.7392,3.8268,3.9052,3.9833,4.0401,3.6996,3.9503,3.5742,4.0757
134,3.8287,0.1254,4581,14,3.6262,3.6714,3.7435,3.8297,3.9071,3.9877,4.0431,3.7033,3.9541,3.5779,4.0795
135,3.832,0.125,4605,14,3.6288,3.6776,3.7483,3.8333,3.9095,3.9911,4.0469,3.707,3.957,3.582,4.082
136,3.8345,0.1244,4625,14,3.63,3.6782,3.753,3.8371,3.9126,3.9935,4.05,3.71,3.9589,3.5856,4.0833
137,3.8361,0.1243,4647,14,3.6334,3.6789,3.7548,3.8388,3.9128,3.9926,4.0488,3.7118,3.9604,3.5874,4.0848
138,3.8366,0.1248,4664,14,3.6355,3.6815,3.7565,3.8393,3.9128,3.9935,4.0488,3.7118,3.9615,3.587,4.0863
139,3.8359,0.1255,4709,14,3.6296,3.6788,3.7552,3.8382,3.9141,3.9944,4.0483,3.7104,3.9615,3.5849,4.087
140,3.8346,0.1266,4754,14,3.6262,3.6711,3.7531,3.8371,3.9128,3.9949,4.0488,3.7079,3.9612,3.5813,4.0879
141,3.8328,0.1281,4799,14,3.623,3.6691,3.7471,3.8353,3.9139,3.9947,4.0477,3.7047,3.9609,3.5767,4.089
142,3.8311,0.1294,4847,14,3.619,3.662,3.7451,3.8336,3.9125,3.9929,4.0455,3.7018,3.9605,3.5724,4.0899
143,3.8299,0.1305,4895,14,3.6161,3.6599,3.7426,3.8332,3.9135,3.9945,4.0453,3.6994,3.9603,3.569,4.0908
144,3.8286,0.1313,4935,14,3.6122,3.6579,3.7422,3.8329,3.9143,3.9957,4.0454,3.6974,3.9599,3.5661,4.0912
145,3.8277,0.1318,4937,14,3.6108,3.6574,3.7405,3.8319,3.9162,3.9974,4.0458,3.6959,3.9595,3.5642,4.0913
146,3.8264,0.1321,4961,14,3.6094,3.656,3.7382,3.8284,3.9144,3.9937,4.0447,3.6943,3.9585,3.5622,4.0906
147,3.825,0.1325,4961,14,3.6088,3.6551,3.7374,3.8253,3.9132,3.9934,4.0429,3.6926,3.9575,3.5601,4.09
148,3.8233,0.1329,4961,14,3.6041,3.6523,3.7346,3.8222,3.9126,3.9911,4.0365,3.6904,3.9563,3.5575,4.0892
149,3.8216,0.1335,4965,14,3.6005,3.6509,3.7341,3.8212,3.914,3.9906,4.0382,3.6881,3.9551,3.5545,4.0887
150,3.8202,0.1346,4965,14,3.5963,3.6471,3.7319,3.8186,3.9131,3.9914,4.0394,3.6856,3.9548,3.5511,4.0893
151,3.8196,0.136,4969,14,3.5878,3.6459,3.7309,3.8141,3.91,3.9902,4.0394,3.6836,3.9555,3.5477,4.0915
152,3.8198,0.1374,4975,14,3.586,3.645,3.7305,3.8136,3.9103,3.9933,4.0432,3.6824,3.9573,3.545,4.0947
153,3.8211,0.1387,4984,14,3.5853,3.6427,3.7306,3.8141,3.9129,3.9967,4.05,3.6824,3.9598,3.5437,4.0986
154,3.8236,0.14,4987,14,3.5879,3.6425,3.7335,3.8183,3.9163,4.0011,4.0561,3.6836,3.9635,3.5437,4.1035
155,3.8267,0.1408,4991,14,3.5915,3.6454,3.7356,3.8207,3.9186,4.0054,4.0618,3.6859,3.9674,3.5451,4.1082
156,3.8301,0.1416,4995,14,3.5928,3.6461,3.74,3.8233,3.9207,4.0099,4.0694,3.6886,3.9717,3.547,4.1132
157,3.8337,0.1425,4995,14,3.5979,3.6503,3.7432,3.8268,3.924,4.0126,4.0714,3.6912,3.9762,3.5487,4.1187
158,3.8364,0.1434,4985,14,3.6003,3.6524,3.7448,3.8287,3.9285,4.0185,4.0852,3.693,3.9798,3.5497,4.1231
159,3.8385,0.1443,4985,15,3.602,3.6541,3.7468,3.8339,3.9336,4.029,4.0979,3.6942,3.9827,3.55,4.127
160,3.8398,0.1453,5030,15,3.6005,3.6533,3.7474,3.833,3.9316,4.0289,4.0967,3.6944,3.9851,3.5491,4.1304
161,3.8409,0.1461,5074,15,3.5969,3.6527,3.7483,3.834,3.9319,4.0291,4.0974,3.6948,3.987,3.5486,4.1331
162,3.8415,0.1464,5098,15,3.5961,3.6524,3.7465,3.8342,3.9329,4.0277,4.096,3.695,3.9879,3.5486,4.1344
163,3.8428,0.1467,5108,15,3.5961,3.6534,3.7487,3.837,3.9364,4.0317,4.0996,3.6961,3.9896,3.5494,4.1363
164,3.8447,0.147,5114,15,3.5939,3.6547,3.7532,3.8401,3.9381,4.0337,4.0996,3.6977,3.9917,3.5506,4.1387
165,3.847,0.1473,5138,15,3.5982,3.6593,3.7548,3.8427,3.9399,4.0383,4.1037,3.6997,3.9943,3.5524,4.1416
166,3.849,0.1476,5160,15,3.6019,3.6598,3.7557,3.8456,3.9432,4.0429,4.1076,3.7014,3.9966,3.5537,4.1443
167,3.8504,0.148,5184,15,3.605,3.6613,3.7566,3.8468,3.9459,4.0466,4.1088,3.7024,3.9985,3.5544,4.1465
168,3.8515,0.1487,5197,15,3.6051,3.6633,3.7562,3.8473,3.948,4.0482,4.1089,3.7029,4.0002,3.5542,4.1489
169,3.8525,0.1494,5203,15,3.6048,3.6641,3.7542,3.8458,3.9474,4.0501,4.1117,3.7031,4.0019,3.5536,4.1513
170,3.8534,0.1504,5226,15,3.6042,3.6642,3.7548,3.8483,3.9492,4.0514,4.1153,3.703,4.0037,3.5527,4.1541
171,3.8545,0.1512,5247,15,3.6029,3.6655,3.7555,3.8503,3.9517,4.0548,4.1156,3.7033,4.0057,3.5521,4.1569
172,3.8558,0.1518,5271,15,3.5974,3.667,3.7561,3.8513,3.956,4.0586,4.1217,3.704,4.0076,3.5522,4.1594
173,3.8576,0.1519,5305,15,3.5983,3.6678,3.7575,3.8533,3.9561,4.0598,4.123,3.7057,4.0095,3.5537,4.1615
174,3.8598,0.1515,5329,15,3.5996,3.6698,3.7592,3.8536,3.9565,4.0582,4.1197,3.7083,4.0114,3.5568,4.1629
175,3.8625,0.1504,5331,15,3.607,3.6736,3.7637,3.8564,3.9589,4.0601,4.1211,3.712,4.0129,3.5616,4.1634
176,3.8652,0.1493,5332,15,3.612,3.6787,3.768,3.8607,3.9614,4.0607,4.1201,3.716,4.0145,3.5667,4.1638
177,3.8682,0.1483,5332,15,3.6182,3.6836,3.7736,3.8647,3.9668,4.0624,4.1194,3.72,4.0165,3.5717,4.1648
178,3.871,0.1472,5345,15,3.6212,3.6861,3.7762,3.866,3.9685,4.0641,4.1218,3.7238,4.0182,3.5766,4.1654
179,3.8734,0.1461,5360,15,3.6239,3.6905,3.777,3.8669,3.9691,4.0653,4.1271,3.7273,4.0194,3.5812,4.1655
180,3.8753,0.1449,5354,15,3.6303,3.6943,3.7821,3.87,3.9708,4.0652,4.1259,3.7304,4.0201,3.5855,4.165
181,3.8773,0.1436,5355,15,3.6378,3.6966,3.7834,3.8732,3.9717,4.0614,4.1202,3.7337,4.0209,3.5901,4.1645
182,3.8796,0.142,5352,15,3.6434,3.7025,3.785,3.8762,3.9735,4.0602,4.1152,3.7375,4.0216,3.5955,4.1637
183,3.8822,0.1406,5363,15,3.647,3.7037,3.7902,3.8809,3.9756,4.0603,4.115,3.7416,4.0227,3.601,4.1633
184,3.8849,0.1393,5379,15,3.6486,3.7055,3.7946,3.8854,3.977,4.0601,4.1128,3.7456,4.0242,3.6063,4.1635
185,3.8875,0.1381,5371,15,3.6547,3.7103,3.7974,3.8886,3.9806,4.0629,4.113,3.7494,4.0256,3.6113,4.1637
186,3.8899,0.1368,5350,15,3.6566,3.7118,3.7996,3.8931,3.9839,4.0628,4.113,3.7532,4.0267,3.6164,4.1635
187,3.8919,0.1354,5330,15,3.663,3.7139,3.8012,3.8949,3.9839,4.0605,4.1103,3.7565,4.0272,3.6211,4.1626
188,3.8933,0.1343,5330,15,3.6665,3.7159,3.8034,3.8969,3.9845,4.0606,4.1091,3.759,4.0276,3.6248,4.1618
189,3.8946,0.1337,5318,15,3.6688,3.7183,3.8063,3.8976,3.9838,4.0582,4.1069,3.7608,4.0283,3.6271,4.162
190,3.8959,0.1339,5313,15,3.6711,3.7198,3.8073,3.8984,3.9839,4.061,4.1114,3.762,4.0298,3.6281,4.1637
191,3.8972,0.1344,5311,15,3.6709,3.7195,3.8063,3.8991,3.9874,4.0661,4.1167,3.7628,4.0316,3.6284,4.1659
192,3.8988,0.135,5311,15,3.6711,3.7198,3.8049,3.902,3.9905,4.0694,4.1223,3.7639,4.0338,3.6289,4.1688
193,3.9005,0.1355,5312,15,3.6712,3.7203,3.8066,3.9043,3.9917,4.0704,4.1237,3.765,4.0359,3.6295,4.1714
194,3.9023,0.1357,5315,15,3.6749,3.7228,3.8108,3.9066,3.994,4.0722,4.1238,3.7665,4.038,3.6308,4.1738
